Druskininkai mun.;2004;165;88;77
Druskininkai mun.;2005;194;96;98
Druskininkai mun.;2006;171;86;85
Druskininkai mun.;2007;158;85;73
Druskininkai mun.;2008;194;96;98
Druskininkai mun.;2009;188;100;88
Druskininkai mun.;2010;188;98;90
Druskininkai mun.;2011;175;90;85
Druskininkai mun.;2012;189;83;106
Druskininkai mun.;2013;189;92;97
Druskininkai mun.;2014;184;97;87
Druskininkai mun.;2015;211;97;114
Druskininkai mun.;2016;201;114;87
Druskininkai mun.;2017;170;85;85
Lazdijai d. mun.;1994;341;;
Lazdijai d. mun.;1995;334;;
Lazdijai d. mun.;1996;298;;
Lazdijai d. mun.;1997;285;;
Lazdijai d. mun.;1998;290;;
Lazdijai d. mun.;1999;272;;
Lazdijai d. mun.;2000;294;143;151
Lazdijai d. mun.;2001;275;135;140
Lazdijai d. mun.;2002;239;114;125
Lazdijai d. mun.;2003;219;111;108
Lazdijai d. mun.;2004;216;109;107
Lazdijai d. mun.;2005;247;107;140
Lazdijai d. mun.;2006;227;119;108
Lazdijai d. mun.;2007;208;109;99
Lazdijai d. mun.;2008;192;101;91
Lazdijai d. mun.;2009;220;118;102
Lazdijai d. mun.;2010;207;107;100
Lazdijai d. mun.;2011;193;105;88
Lazdijai d. mun.;2012;216;111;105
Lazdijai d. mun.;2013;217;103;114
Lazdijai d. mun.;2014;181;85;96
Lazdijai d. mun.;2015;187;87;100
Lazdijai d. mun.;2016;160;83;77
Lazdijai d. mun.;2017;157;93;64
Varėna d. mun.;1994;351;;
Varėna d. mun.;1995;370;;
Varėna d. mun.;1996;322;;
Varėna d. mun.;1997;323;;
Varėna d. mun.;1998;340;;
Varėna d. mun.;1999;306;;
Varėna d. mun.;2000;329;170;159
Varėna d. mun.;2001;281;131;150
Varėna d. mun.;2002;253;122;131
Varėna d. mun.;2003;275;110;165
Varėna d. mun.;2004;248;103;145
Varėna d. mun.;2005;242;122;120
Varėna d. mun.;2006;227;128;99
Varėna d. mun.;2007;199;107;92
Varėna d. mun.;2008;222;99;123
Varėna d. mun.;2009;217;116;101
Varėna d. mun.;2010;211;116;95
Varėna d. mun.;2011;195;105;90
Varėna d. mun.;2012;229;127;102
Varėna d. mun.;2013;205;110;95
Varėna d. mun.;2014;190;104;86
Varėna d. mun.;2015;202;93;109
Varėna d. mun.;2016;194;92;102
Varėna d. mun.;2017;181;92;89
Kaunas county;1994;8446;;
Kaunas county;1995;8459;;
Kaunas county;1996;8141;;
Kaunas county;1997;7747;;
Kaunas county;1998;7489;;
Kaunas county;1999;7288;;
Kaunas county;2000;6753;3492;3261
Kaunas county;2001;6204;3252;2952
Kaunas county;2002;5879;3047;2832
Kaunas county;2003;5926;2988;2938
Kaunas county;2004;5879;3011;2868
Kaunas county;2005;5906;3002;2904
Kaunas county;2006;5704;2937;2767
Kaunas county;2007;5920;3043;2877
Kaunas county;2008;6312;3217;3095
Kaunas county;2009;6490;3304;3186
Kaunas county;2010;6187;3232;2955
Kaunas county;2011;6019;3076;2943
Kaunas county;2012;5978;3066;2912
Kaunas county;2013;5789;2968;2821
Kaunas county;2014;5956;3019;2937
Kaunas county;2015;6117;3175;2942
Kaunas county;2016;6025;3119;2906
Kaunas county;2017;5564;2851;2713
Birštonas mun.;1994;57;;
Birštonas mun.;1995;63;;
Birštonas mun.;1996;54;;
Birštonas mun.;1997;51;;
Birštonas mun.;1998;53;;
Birštonas mun.;1999;49;;
Birštonas mun.;2000;35;13;22
Birštonas mun.;2001;36;22;14
Birštonas mun.;2002;40;15;25
Birštonas mun.;2003;45;26;19
Birštonas mun.;2004;37;19;18
Birštonas mun.;2005;36;18;18
Birštonas mun.;2006;26;9;17
Birštonas mun.;2007;33;13;20
Birštonas mun.;2008;29;19;10
Birštonas mun.;2009;56;28;28
Birštonas mun.;2010;51;34;17
Birštonas mun.;2011;40;23;17
Birštonas mun.;2012;34;17;17
Birštonas mun.;2013;40;21;19
Birštonas mun.;2014;39;17;22
Birštonas mun.;2015;37;19;18
Birštonas mun.;2016;49;22;27
Birštonas mun.;2017;37;20;17
Jonava d. mun.;1994;597;;
Jonava d. mun.;1995;610;;
Jonava d. mun.;1996;670;;
Jonava d. mun.;1997;672;;
Jonava d. mun.;1998;622;;
Jonava d. mun.;1999;632;;
Jonava d. mun.;2000;596;322;274
Jonava d. mun.;2001;584;300;284
Jonava d. mun.;2002;493;249;244
Jonava d. mun.;2003;519;270;249
Jonava d. mun.;2004;507;261;246
Jonava d. mun.;2005;542;286;256
Jonava d. mun.;2006;475;238;237
Jonava d. mun.;2007;497;241;256
Jonava d. mun.;2008;540;263;277
Jonava d. mun.;2009;480;247;233
Jonava d. mun.;2010;447;241;206
Jonava d. mun.;2011;470;252;218
Jonava d. mun.;2012;474;261;213
Jonava d. mun.;2013;442;238;204
Jonava d. mun.;2014;452;230;222
Jonava d. mun.;2015;475;245;230
Jonava d. mun.;2016;447;223;224
